Direccion;Precio;Tipo_Adquicision;Habitaciones;Banios;Ciudad;Fecha
2010 W Cleveland Ave, Spokane, WA 99205;325000;ForSale;4;1;Spokane;2024-01-01T11:41:03.532Z
1603 W Marie St, Pasco, WA 99301;410000;ForSale;3;2;Pasco;2023-11-07T07:08:38.486Z
8522 E Rowan Ln, Spokane, WA 99217;475000;ForSale;4;3;Spokane;2023-10-24T12:08:11.122Z
4325 Foothills Court, Bellingham, WA 98226;749950;ForSale;4;2;Bellingham;2023-12-24T21:47:16.933Z
1630 E Olympic Ave, Spokane, WA 99207;260000;ForSale;1;1;Spokane;2023-12-03T15:39:26.453Z
231 Hansen Road, Woodland, WA 98674;550000;ForSale;3;1;Woodland;2024-04-05T14:19:15.087Z
165 NE Morgan St, Portland, OR 97211;549000;ForSale;3;2;Portland;2024-03-23T00:53:58.947Z
4545 NE Totten Road, Poulsbo, WA 98370;825000;ForSale;3;3;Poulsbo;2023-12-03T13:03:02.119Z
1110 Wright Ave, Richland, WA 99354;365000;ForSale;4;2;Richland;2024-02-02T19:18:38.965Z
10110 NE 87th Ave, Vancouver, WA 98662;499000;ForSale;3;2;Vancouver;2023-10-08T18:25:05.007Z
944 N Lafayette Avenue, Bremerton, WA 98312;299900;ForSale;3;2;Bremerton;2023-10-26T17:22:15.834Z
3606 NE Alameda St, Portland, OR 97212;799000;ForSale;5;3;Portland;2023-12-18T17:08:50.455Z
2317 W Everett Ave, Spokane, WA 99205;315000;ForSale;4;1;Spokane;2023-11-20T07:25:43.702Z
82461 Maple Rd, Seaside, OR 97138;375000;ForSale;3;2;Seaside;2024-02-22T11:21:00.096Z
8007 NE 205th Street, Kenmore, WA 98028;1000000;ForSale;3;3;Kenmore;2024-01-01T17:29:58.553Z
4809 Edgeworth Drive SE, Olympia, WA 98501;520000;ForSale;3;2;Olympia;2023-12-16T10:52:08.831Z
4611 S Bella Vista Dr, Veradale, WA 99037;888800;ForSale;4;4;Veradale;2023-12-14T01:21:48.950Z
13708 Otter Court SE, Rainier, WA 98576;400000;ForSale;2;1;Rainier;2024-01-28T04:24:25.606Z
6918 Red Ridge Drive, Lynden, WA 98264;899999;ForSale;5;2;Lynden;2023-12-23T19:47:27.353Z
612 9th Avenue N, Edmonds, WA 98020;1200000;ForSale;4;2;Edmonds;2023-10-15T22:04:11.734Z
4115 NE 66th Ave, Portland, OR 97218;529000;ForSale;3;1;Portland;2024-02-14T17:19:12.181Z
79567 Quincy Mayger Rd, Clatskanie, OR 97016;399000;ForSale;3;1;Clatskanie;2023-12-13T13:41:39.705Z
30 Madrona Place, Dupont, WA 98327;575000;ForSale;3;3;Dupont;2024-01-05T07:37:20.481Z
537 Quail Loop, Newport, WA 99156;409950;ForSale;3;2;Newport;2023-11-25T06:51:28.964Z
3705 Bosuns Ct, Pender Island, BC V0N 2M2;829000;ForSale;4;4;Pender Island;2023-12-26T07:14:58.825Z
1626 Huson Drive, Tacoma, WA 98405;725000;ForSale;5;2;Tacoma;2024-03-10T13:05:41.789Z
9706 S 212th Avenue, Kent, WA 98031;600000;ForSale;4;3;Kent;2024-02-16T08:14:04.676Z
3702 W 22nd Ave, Kennewick, WA 99338;439000;ForSale;3;2;Kennewick;2023-12-24T00:29:50.168Z
114 E Hoffman Ave, Spokane, WA 99207;314999;ForSale;3;2;Spokane;2024-01-31T15:20:12.402Z
2113 Aurora Avenue N, Seattle, WA 98109;750000;ForSale;4;4;Seattle;2023-10-09T05:58:04.036Z
3829 Green Mountain Road NE, Bremerton, WA 98312;500000;ForSale;4;3;Bremerton;2024-03-06T14:38:32.033Z
1191 Blaine Avenue, Blaine, WA 98230;595000;ForSale;4;2;Blaine;2024-02-02T18:46:53.401Z
6855 N Rochester St, Portland, OR 97203;525000;ForSale;4;2;Portland;2024-03-24T20:29:24.275Z
1965 Westside Highway UNIT 110, Kelso, WA 98626;125000;ForSale;2;2;Kelso;2023-12-18T19:35:02.731Z
3725 60th St Ct, Gig Harbor, WA 98335;625000;ForSale;3;2;Gig Harbor;2023-10-19T16:33:10.237Z
2716 Northport Flat Creek Rd, Kettle Falls, WA 99141;975000;ForSale;4;3;Kettle Falls;2023-10-31T08:44:29.674Z
3004 Orange Court, Winlock, WA 98596;339900;ForSale;3;2;Winlock;2024-03-14T19:18:30.658Z
209 F Street, Zillah, WA 98953;258500;ForSale;2;1;Zillah;2023-11-18T20:25:58.569Z
1418 S 94th Street, Tacoma, WA 98444;400000;ForSale;2;1;Tacoma;2024-01-25T10:12:19.816Z
1503 W 44th Pl, Kennewick, WA 99337;439000;ForSale;3;2;Kennewick;2024-03-23T17:08:10.249Z
2822 Greendale Drive SE, Port Orchard, WA 98366;389500;ForSale;3;1;Pt Orchard;2024-02-14T07:58:10.908Z
531 N Bridgeton Rd, Portland, OR 97217;340000;ForSale;3;2;Portland;2023-12-09T00:31:31.021Z
493 N Brushwood Ct, Post Falls, ID 83854;400000;ForSale;3;2;Post Falls;2024-04-02T23:56:03.504Z
9907 N Van Houten Ave, Portland, OR 97203;375000;ForSale;3;1;Portland;2024-02-03T18:15:32.584Z
717 E 2nd Avenue, Odessa, WA 99159;250000;ForSale;3;2;Odessa;2024-01-21T05:03:21.752Z
13505 NE Grantham Rd, Amboy, WA 98601;1100000;ForSale;4;2;Amboy;2024-02-17T23:36:35.292Z
487 Olympic Ridge Rd, Sequim, WA 98382;1499950;ForSale;3;3;Sequim;2023-10-20T15:46:53.492Z
220 W Lovett Street, Aberdeen, WA 98520;115000;ForSale;1;1;Aberdeen;2024-01-28T17:41:06.265Z
20 Cove Way, Brinnon, WA 98320;350000;ForSale;2;2;Brinnon;2024-01-30T15:37:59.547Z
2146 Deerbrush Cres, North Saanich, BC V8L 0C5;1098000;ForSale;3;3;North Saanich;2024-04-03T09:00:54.891Z
14328 Phinney Avenue N, Seattle, WA 98133;828800;ForSale;2;3;Seattle;2024-04-03T03:28:55.742Z
21100 NW Reeder Rd, Portland, OR 97231;1300000;ForSale;3;2;Portland;2023-11-14T19:37:30.708Z
10205 NE 339th St, La Center, WA 98629;950000;ForSale;4;3;La Center;2023-11-29T13:16:52.270Z
21702 116th Street E, Bonney Lake, WA 98391;540000;ForSale;3;3;Bonney Lake;2024-01-29T11:11:31.491Z
304 N 6th St, Cheney, WA 99004;358000;ForSale;3;2;Cheney;2023-10-18T01:47:39.778Z
248 N Cascade Street, Buckley, WA 98321;399950;ForSale;4;2;Buckley;2023-10-23T08:13:16.121Z
10995 Potts Road, Sedro Woolley, WA 98284;800000;ForSale;3;2;Sedro Woolley;2024-02-15T22:19:52.573Z
3115 W Providence Ave, Spokane, WA 99205;475000;ForSale;4;2;Spokane;2023-11-22T23:21:54.985Z
4554 14th Avenue SE, Lacey, WA 98503;309000;ForSale;2;1;Lacey;2024-02-21T14:47:25.577Z
3274 N Arlington Pl, Portland, OR 97217;484900;ForSale;3;3;Portland;2024-02-13T06:57:32.470Z
1183 Grove St, Vernonia, OR 97064;355950;ForSale;3;2;Vernonia;2024-03-03T03:22:44.482Z
641 23rd Ave, Lewiston, ID 83501;425000;ForSale;2;3;Lewiston;2023-11-18T00:53:51.001Z
1122 N 22nd Ave, Yakima, WA 98902;209000;ForSale;2;1;Yakima;2024-03-30T17:48:51.396Z
29014 111th Avenue SE, Auburn, WA 98092;655000;ForSale;3;2;Auburn;2024-02-03T16:33:14.179Z
1325 E 23rd Ave, Kennewick, WA 99337;565000;ForSale;3;2;Kennewick;2024-04-04T08:48:24.444Z
9009 W Westbow Blvd, Spokane, WA 99224;320000;ForSale;4;1;Spokane;2024-01-30T06:18:43.006Z
5400 25th Avenue SW, Seattle, WA 98106;595000;ForSale;2;2;Seattle;2023-10-16T15:53:46.077Z
7045 N Crestline St, Spokane, WA 99217;320000;ForSale;3;1;Spokane;2024-01-31T02:49:47.618Z
3003 42nd Street, Gig Harbor, WA 98335;725000;ForSale;4;3;Gig Harbor;2023-12-04T08:31:41.850Z
3314 E 62nd Ave, Spokane, WA 99223;485000;ForSale;4;3;Spokane;2024-02-08T00:47:51.828Z
15205 E 22nd Ct, Veradale, WA 99037;589900;ForSale;4;4;Veradale;2023-12-03T11:30:49.970Z
291 Landers Lane, Cle Elum, WA 98922;699999;ForSale;3;3;Cle Elum;2024-01-03T01:12:12.509Z
119 Glacier Peak Drive, Camano Island, WA 98282;1199000;ForSale;3;3;Camano Island;2024-01-16T16:15:36.665Z
2411 N Settlement Trl, Post Falls, ID 83854;395000;ForSale;2;2;Post Falls;2024-01-19T03:09:08.660Z
17424 55th Place W, Lynnwood, WA 98037;469950;ForSale;5;4;Lynnwood;2024-04-01T18:16:57.314Z
803 102nd Street S, Tacoma, WA 98444;444999;ForSale;2;2;Tacoma;2024-01-15T04:44:55.064Z
2406 SE Balboa Drive, Vancouver, WA 98683;449900;ForSale;2;2;Vancouver;2024-02-14T03:22:15.606Z
9402 N Woolsey Ave, Portland, OR 97203;415000;ForSale;3;2;Portland;2024-01-21T11:02:51.900Z
7996 Greendale Rd, Lake Cowichan, BC V0R 2G1;1179000;ForSale;5;3;Lake Cowichan;2023-10-22T12:52:28.813Z
11 W Parkway Street, Omak, WA 98841;425000;ForSale;3;2;Omak;2023-10-08T01:25:08.564Z
2550 Thorndyke Avenue W UNIT 404, Seattle, WA 98199;549900;ForSale;3;2;Seattle;2023-11-13T11:03:04.885Z
14713 NE 144th St, Brush Prairie, WA 98606;2695000;ForSale;5;6;Brush Prairie;2023-11-17T12:18:05.432Z
1020 Ocean Beach Road, Hoquiam, WA 98550;235000;ForSale;2;1;Hoquiam;2023-10-10T08:51:37.706Z
262 SW 2nd Street, Chehalis, WA 98532;425000;ForSale;3;2;Chehalis;2024-01-31T17:46:41.548Z
5521 N Walnut St, Spokane, WA 99205;330000;ForSale;4;2;Spokane;2023-10-13T20:18:52.177Z
5329 202nd Place SW, Lynnwood, WA 98036;765000;ForSale;4;2;Lynnwood;2023-11-22T11:23:50.931Z
5600 Oasis St, West Richland, WA 99353;480000;ForSale;3;2;West Richland;2024-01-22T14:36:37.851Z
12513 NW 17th Ave, Vancouver, WA 98685;550000;ForSale;3;3;Vancouver;2023-12-12T03:34:13.897Z
33219 26th Avenue SW, Federal Way, WA 98023;529950;ForSale;4;1;Federal Way;2023-12-08T12:42:05.990Z
11501 25th Street NE, Lake Stevens, WA 98258;849000;ForSale;5;3;Lake Stevens;2024-03-27T19:56:30.728Z
9111 52nd Drive NE, Marysville, WA 98270;479950;ForSale;2;2;Marysville;2023-10-15T19:38:16.257Z
9783 Dan Street, La Conner, WA 98257;1100000;ForSale;2;3;La Conner;2024-01-11T05:58:06.841Z
8810 E Parkside Ln, Spokane, WA 99217;460000;ForSale;3;2;Spokane;2023-10-08T12:26:55.635Z
